"age","maritl","race","education","jobclass","health","health_ins","salary"
42,"Never Married","White","Some College","Industrial","Good","Yes",123.908567597957
53,"Married","White","College Grad","Industrial","Good","Yes",118.884359339886
49,"Married","White","Advanced Degree","Information","Good","Yes",279.1974969917
46,"Married","White","non HS Grad","Industrial","Average","No",54.5981500331442
40,"Married","White","Some College","Industrial","Good","Yes",154.68529299563
41,"Never Married","Asian","Advanced Degree","Information","Good","Yes",180.030197076236
41,"Married","White","College Grad","Information","Good","Yes",118.884359339886
36,"Married","White","Some College","Industrial","Good","No",87.9810327856054
34,"Married","Black","Some College","Information","Average","No",91.6992261117042
24,"Never Married","White","Some College","Information","Good","No",59.0970640815891
44,"Married","White","College Grad","Industrial","Good","Yes",123.908567597957
33,"Married","Black","College Grad","Information","Good","No",109.833985642199
25,"Never Married","White","HS Grad","Industrial","Good","Yes",94.0727147457005
40,"Married","White","HS Grad","Industrial","Good","No",117.146816914805
48,"Never Married","Asian","HS Grad","Industrial","Good","No",65.1108537153447
56,"Married","White","HS Grad","Industrial","Average","No",97.4932940453934
25,"Never Married","White","College Grad","Industrial","Good","No",118.019753340006
44,"Married","White","College Grad","Industrial","Good","Yes",141.77517233318
27,"Never Married","White","Some College","Information","Good","Yes",116.176695171054
58,"Married","White","non HS Grad","Industrial","Average","Yes",75.3556793180091
52,"Divorced","Black","College Grad","Information","Good","Yes",95.2307125669819
60,"Never Married","White","Advanced Degree","Industrial","Average","Yes",111.720849360989
39,"Married","White","Some College","Information","Good","Yes",103.90247060316
51,"Married","White","College Grad","Industrial","Good","Yes",147.116689159978
31,"Never Married","White","Some College","Information","Good","Yes",87.9810327856054
45,"Widowed","White","HS Grad","Industrial","Good","No",118.884359339886
43,"Never Married","White","College Grad","Information","Good","Yes",100.764272842107
45,"Married","White","College Grad","Industrial","Good","Yes",120.589436530402
40,"Married","White","Some College","Information","Good","Yes",193.866878146586
46,"Married","White","HS Grad","Industrial","Good","Yes",118.884359339886
51,"Married","White","Advanced Degree","Information","Good","Yes",267.901086855275
47,"Divorced","White","College Grad","Information","Good","Yes",174.402876012275
52,"Married","White","Advanced Degree","Information","Good","Yes",133.971500070695
31,"Divorced","White","HS Grad","Information","Good","Yes",154.68529299563
40,"Married","Black","College Grad","Information","Good","Yes",154.68529299563
26,"Never Married","White","College Grad","Information","Good","Yes",118.884359339886
49,"Married","White","HS Grad","Industrial","Good","No",95.2307125669819
38,"Divorced","White","Some College","Industrial","Average","No",109.833985642199
50,"Married","Other","non HS Grad","Information","Average","No",111.720849360989
63,"Married","White","Some College","Industrial","Good","Yes",134.705375118879
35,"Married","White","non HS Grad","Industrial","Good","No",85.9010443226556
29,"Never Married","White","HS Grad","Information","Good","No",118.884359339886
33,"Married","White","HS Grad","Industrial","Average","Yes",87.9810327856054
29,"Married","White","HS Grad","Industrial","Good","No",92.8958447894966
62,"Divorced","White","College Grad","Information","Good","Yes",109.833985642199
45,"Married","White","Advanced Degree","Information","Good","Yes",124.720446242886
56,"Married","White","non HS Grad","Industrial","Good","Yes",127.901232979118
58,"Married","White","non HS Grad","Industrial","Average","No",97.4932940453934
39,"Married","White","Advanced Degree","Industrial","Good","Yes",198.350290464385
49,"Married","White","Some College","Industrial","Good","Yes",92.8958447894966
24,"Never Married","White","College Grad","Information","Good","No",94.0727147457005
61,"Divorced","White","HS Grad","Industrial","Good","Yes",148.413159102577
58,"Married","White","College Grad","Industrial","Good","Yes",79.8549003093467
47,"Married","Asian","Some College","Information","Good","No",118.884359339886
41,"Separated","White","College Grad","Information","Good","Yes",87.9810327856054
71,"Married","White","non HS Grad","Information","Average","Yes",94.0727147457005
47,"Married","White","Some College","Industrial","Good","Yes",150.070476909424
38,"Married","White","College Grad","Industrial","Average","Yes",176.989650489877
31,"Never Married","White","College Grad","Industrial","Good","Yes",73.7757432746946
56,"Married","Asian","College Grad","Information","Good","Yes",125.12381572196
44,"Never Married","White","College Grad","Information","Good","Yes",277.79948020565
33,"Married","White","College Grad","Information","Good","Yes",107.903923866876
36,"Never Married","White","College Grad","Industrial","Good","No",60.7397785177603
31,"Married","White","College Grad","Information","Good","Yes",92.0363233010764
55,"Married","White","Some College","Information","Good","Yes",109.833985642199
48,"Married","White","College Grad","Information","Good","No",66.9616443217359
50,"Married","White","Some College","Information","Good","Yes",114.475713290347
42,"Married","White","College Grad","Information","Good","No",170.6951277113
25,"Never Married","White","Some College","Information","Good","Yes",130.982177377461
55,"Married","White","HS Grad","Industrial","Average","Yes",127.115743812184
28,"Never Married","White","Advanced Degree","Industrial","Good","Yes",117.146816914805
30,"Married","Other","non HS Grad","Information","Average","No",123.089699847943
46,"Never Married","Black","College Grad","Industrial","Good","Yes",120.589436530402
48,"Divorced","White","Advanced Degree","Information","Average","Yes",130.982177377461
42,"Divorced","White","Some College","Industrial","Good","Yes",81.2832532842527
23,"Married","White","College Grad","Industrial","Good","No",36.6737041960799
60,"Married","White","Advanced Degree","Industrial","Good","No",104.921506533664
34,"Married","Black","non HS Grad","Information","Good","Yes",74.412963512917
45,"Married","White","College Grad","Industrial","Good","Yes",129.067820506745
28,"Never Married","White","Some College","Industrial","Average","No",84.1000101164483
33,"Married","White","Advanced Degree","Information","Good","Yes",185.918662879754
58,"Married","White","HS Grad","Information","Good","Yes",105.927810775063
47,"Married","White","Advanced Degree","Information","Good","Yes",163.515863976238
24,"Never Married","White","Some College","Industrial","Good","No",63.1888610037461
56,"Married","White","College Grad","Industrial","Good","No",134.705375118879
56,"Married","White","College Grad","Industrial","Good","Yes",120.926701544426
23,"Never Married","Other","College Grad","Information","Average","Yes",94.0727147457005
56,"Married","White","Advanced Degree","Information","Average","Yes",132.487821126123
45,"Married","White","College Grad","Information","Good","Yes",133.232350826567
58,"Married","White","Some College","Information","Good","Yes",145.143601176911
30,"Married","Asian","Advanced Degree","Information","Good","Yes",118.884359339886
46,"Married","White","Advanced Degree","Industrial","Good","No",150.330653495766
48,"Married","White","Advanced Degree","Industrial","Good","Yes",278.964466695847
50,"Divorced","White","HS Grad","Industrial","Average","Yes",98.2692308087927
43,"Never Married","White","College Grad","Information","Good","Yes",99.6894636984864
37,"Married","White","non HS Grad","Industrial","Good","No",94.0727147457005
49,"Divorced","White","Some College","Information","Good","No",176.989650489877
31,"Married","Asian","College Grad","Information","Good","Yes",166.324941233877
54,"Married","Asian","HS Grad","Industrial","Good","Yes",94.0727147457005
52,"Married","White","College Grad","Information","Good","Yes",139.703071527658
70,"Married","White","HS Grad","Industrial","Average","No",78.3924668009837
30,"Married","White","Advanced Degree","Information","Good","Yes",141.775856466307
44,"Married","White","HS Grad","Industrial","Good","Yes",116.265324062503
34,"Married","Asian","College Grad","Information","Good","Yes",148.413159102577
38,"Married","White","HS Grad","Industrial","Good","No",87.9810327856054
28,"Separated","White","non HS Grad","Industrial","Average","Yes",90.4819133566401
38,"Married","White","Some College","Industrial","Good","Yes",141.77517233318
39,"Married","White","HS Grad","Industrial","Average","No",63.0927167348386
52,"Never Married","White","College Grad","Information","Average","Yes",65.1108537153447
34,"Never Married","White","College Grad","Industrial","Good","Yes",151.591484239814
33,"Married","White","College Grad","Information","Good","Yes",123.089699847943
45,"Married","White","College Grad","Industrial","Average","Yes",118.884359339886
58,"Married","White","HS Grad","Industrial","Average","No",79.8549003093467
38,"Married","White","HS Grad","Industrial","Good","No",104.004959912222
63,"Married","White","College Grad","Industrial","Average","No",55.5361044177385
38,"Married","White","Advanced Degree","Information","Good","Yes",99.6894636984864
31,"Married","White","Some College","Industrial","Good","No",99.6894636984864
53,"Married","White","College Grad","Information","Good","Yes",193.452606894109
21,"Never Married","Black","HS Grad","Information","Average","Yes",102.870246933215
38,"Married","White","College Grad","Information","Good","Yes",164.646988930328
18,"Never Married","White","non HS Grad","Industrial","Average","Yes",69.6190369046763
28,"Never Married","White","Some College","Industrial","Good","Yes",99.6894636984864
33,"Never Married","White","College Grad","Information","Good","Yes",114.475713290347
32,"Married","White","Some College","Industrial","Good","No",99.6894636984864
29,"Never Married","White","HS Grad","Information","Good","Yes",95.2307125669819
28,"Married","White","non HS Grad","Industrial","Average","Yes",82.6796372966372
42,"Married","White","Advanced Degree","Information","Good","Yes",116.943081320617
28,"Widowed","White","non HS Grad","Information","Average","No",54.5981500331442
36,"Married","White","Advanced Degree","Information","Good","Yes",138.299126920883
47,"Married","White","HS Grad","Information","Good","Yes",130.982177377461
53,"Married","White","Advanced Degree","Information","Good","Yes",281.745970551857
48,"Married","White","Advanced Degree","Information","Good","Yes",163.515863976238
36,"Married","White","Advanced Degree","Industrial","Good","Yes",179.214858036271
55,"Married","White","Some College","Information","Good","Yes",126.323880709786
37,"Married","White","non HS Grad","Industrial","Average","No",70.4760196469445
68,"Married","White","College Grad","Information","Average","Yes",118.019753340006
65,"Married","Other","HS Grad","Industrial","Good","No",71.3196387942183
37,"Never Married","White","College Grad","Information","Good","No",114.475713290347
33,"Married","White","College Grad","Information","Good","Yes",138.299126920883
19,"Never Married","White","HS Grad","Information","Good","No",54.5981500331442
50,"Married","White","College Grad","Information","Good","Yes",94.0727147457005
22,"Never Married","White","Some College","Industrial","Average","No",80.4302079458208
40,"Married","White","Some College","Information","Good","Yes",89.2428846644714
45,"Married","White","Some College","Industrial","Good","No",117.146816914805
36,"Married","White","Advanced Degree","Industrial","Good","No",127.115743812184
37,"Married","Asian","non HS Grad","Industrial","Good","No",81.2832532842527
24,"Never Married","White","HS Grad","Industrial","Average","No",52.4070640482002
66,"Married","Black","non HS Grad","Information","Good","Yes",99.6894636984864
35,"Married","Asian","non HS Grad","Industrial","Average","No",63.1888610037461
33,"Never Married","White","College Grad","Information","Good","Yes",196.125272594255
44,"Married","White","Some College","Industrial","Average","Yes",101.82435207568
48,"Never Married","White","Some College","Information","Good","Yes",107.903923866876
47,"Married","White","HS Grad","Information","Good","No",51.2396549228382
41,"Married","White","Some College","Industrial","Good","Yes",99.6894636984864
55,"Married","White","College Grad","Information","Good","Yes",63.1888610037461
74,"Divorced","Black","Advanced Degree","Information","Good","No",148.413159102577
33,"Never Married","White","College Grad","Information","Good","Yes",99.6894636984864
62,"Married","White","Advanced Degree","Information","Average","Yes",130.982177377461
56,"Divorced","White","HS Grad","Industrial","Average","Yes",101.82435207568
29,"Never Married","White","Advanced Degree","Information","Good","Yes",99.6894636984864
56,"Never Married","Black","non HS Grad","Information","Average","No",79.8549003093467
47,"Married","Black","Advanced Degree","Information","Good","Yes",160.642475408263
45,"Married","White","HS Grad","Information","Good","Yes",134.705375118879
44,"Married","White","College Grad","Information","Good","Yes",160.642475408263
25,"Never Married","White","College Grad","Information","Good","Yes",91.6992261117042
45,"Divorced","Black","Some College","Information","Good","No",75.3556793180091
40,"Married","White","College Grad","Information","Good","Yes",136.15771083723
56,"Married","White","HS Grad","Information","Average","Yes",134.705375118879
56,"Married","Asian","Some College","Information","Good","Yes",81.9853178344996
47,"Married","Asian","College Grad","Industrial","Good","Yes",176.989650489877
39,"Married","White","HS Grad","Industrial","Good","Yes",118.886080351034
38,"Married","White","Some College","Information","Good","Yes",121.262745732618
48,"Married","White","HS Grad","Industrial","Good","No",94.0727147457005
44,"Married","Black","HS Grad","Industrial","Average","No",99.6894636984864
42,"Married","White","Advanced Degree","Information","Good","No",123.908567597957
55,"Married","White","HS Grad","Industrial","Good","Yes",118.884359339886
61,"Never Married","White","Advanced Degree","Industrial","Good","No",82.6796372966372
39,"Married","White","HS Grad","Industrial","Average","Yes",81.2832532842527
30,"Married","Black","Some College","Industrial","Good","No",104.921506533664
49,"Divorced","White","HS Grad","Industrial","Average","Yes",99.6894636984864
33,"Married","White","College Grad","Information","Good","Yes",136.15771083723
31,"Married","White","non HS Grad","Industrial","Average","No",81.2832532842527
35,"Never Married","Asian","HS Grad","Industrial","Good","Yes",68.5086896572248
55,"Married","White","HS Grad","Industrial","Good","Yes",81.2832532842527
36,"Married","White","HS Grad","Industrial","Good","Yes",114.475713290347
37,"Married","White","HS Grad","Industrial","Good","No",118.019753340006
33,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
48,"Married","White","HS Grad","Industrial","Average","Yes",118.884359339886
47,"Married","Asian","Some College","Industrial","Good","Yes",118.884359339886
60,"Married","White","Some College","Information","Average","Yes",123.089699847943
28,"Never Married","White","College Grad","Information","Average","Yes",109.833985642199
28,"Married","White","Some College","Information","Good","Yes",102.870246933215
48,"Married","White","College Grad","Information","Good","Yes",163.515863976238
29,"Married","White","Advanced Degree","Information","Good","No",117.146816914805
40,"Never Married","White","HS Grad","Industrial","Average","Yes",92.3000614282589
32,"Never Married","White","Advanced Degree","Information","Good","Yes",100.013486924706
33,"Divorced","White","HS Grad","Information","Good","No",55.0697284222779
40,"Divorced","White","HS Grad","Industrial","Good","Yes",101.82435207568
42,"Married","White","Some College","Industrial","Good","Yes",148.413159102577
36,"Married","White","HS Grad","Industrial","Good","No",115.375038556391
39,"Married","Black","non HS Grad","Industrial","Average","No",73.7757432746946
44,"Married","White","Advanced Degree","Information","Good","Yes",267.901086855275
43,"Married","White","HS Grad","Industrial","Good","No",129.453644576625
44,"Married","White","non HS Grad","Industrial","Good","Yes",96.3706528322308
29,"Married","Asian","Advanced Degree","Information","Good","Yes",87.9810327856054
49,"Married","Black","Some College","Information","Good","Yes",104.921506533664
47,"Married","Black","Some College","Information","Good","Yes",130.982177377461
46,"Married","Asian","Advanced Degree","Information","Good","Yes",190.547678564741
41,"Divorced","White","non HS Grad","Industrial","Good","Yes",118.019753340006
52,"Married","White","HS Grad","Information","Average","No",79.8549003093467
43,"Divorced","White","HS Grad","Information","Good","Yes",72.4793162971252
38,"Married","White","Advanced Degree","Information","Good","Yes",148.413159102577
42,"Married","White","Some College","Information","Good","Yes",74.4446382014083
56,"Married","Black","College Grad","Industrial","Good","No",118.884359339886
39,"Married","White","HS Grad","Industrial","Good","Yes",128.680488220624
29,"Married","Black","Some College","Information","Good","Yes",87.9810327856054
33,"Married","White","Advanced Degree","Information","Good","Yes",267.901086855275
33,"Married","White","HS Grad","Industrial","Good","No",104.921506533664
41,"Married","White","HS Grad","Information","Good","No",92.8958447894966
44,"Never Married","Black","non HS Grad","Information","Average","Yes",70.4760196469445
45,"Married","White","Advanced Degree","Information","Good","Yes",200.543262324662
58,"Married","White","HS Grad","Information","Good","Yes",102.870246933215
29,"Married","White","Some College","Industrial","Good","Yes",102.870246933215
42,"Divorced","White","HS Grad","Industrial","Good","No",65.1108537153447
68,"Married","White","HS Grad","Industrial","Good","Yes",109.833985642199
47,"Married","White","Advanced Degree","Information","Average","Yes",127.115743812184
30,"Married","Black","College Grad","Information","Good","No",94.0727147457005
39,"Married","White","non HS Grad","Information","Good","No",67.8625234113681
42,"Married","White","College Grad","Industrial","Good","Yes",125.525498433836
49,"Married","White","Some College","Industrial","Good","Yes",165.208773767255
36,"Never Married","White","HS Grad","Industrial","Average","Yes",81.2832532842527
44,"Married","Asian","HS Grad","Information","Average","Yes",112.6488963421
54,"Married","White","HS Grad","Information","Good","Yes",76.8936025176112
42,"Married","White","HS Grad","Industrial","Average","Yes",75.0431540173515
39,"Married","White","College Grad","Industrial","Good","Yes",128.680488220624
30,"Married","Asian","HS Grad","Information","Good","No",59.0970640815891
33,"Never Married","Black","HS Grad","Information","Good","No",63.7733911962488
28,"Married","White","HS Grad","Information","Good","Yes",84.0459576539924
38,"Married","White","HS Grad","Industrial","Good","Yes",93.9371815810521
30,"Married","Other","Some College","Industrial","Good","Yes",82.6796372966372
25,"Never Married","White","Advanced Degree","Industrial","Good","Yes",118.884359339886
52,"Married","Black","HS Grad","Information","Good","Yes",81.2832532842527
26,"Married","White","HS Grad","Industrial","Average","No",66.9616443217359
54,"Married","White","College Grad","Industrial","Good","Yes",166.324941233877
62,"Married","White","College Grad","Information","Good","No",99.6894636984864
57,"Married","Asian","Advanced Degree","Information","Average","Yes",141.77517233318
32,"Married","White","College Grad","Industrial","Good","Yes",143.134940811134
60,"Married","White","HS Grad","Industrial","Good","Yes",35.0334213214995
40,"Married","White","College Grad","Information","Good","Yes",109.833985642199
49,"Married","White","HS Grad","Industrial","Good","No",111.014405508798
54,"Married","White","College Grad","Industrial","Good","Yes",132.487821126123
48,"Never Married","White","Advanced Degree","Information","Good","Yes",148.413159102577
35,"Never Married","White","non HS Grad","Industrial","Good","Yes",73.7757432746946
46,"Divorced","White","HS Grad","Information","Average","Yes",143.699710133813
42,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
58,"Married","White","College Grad","Information","Good","Yes",272.294783220064
30,"Never Married","White","College Grad","Information","Good","Yes",200.543262324662
27,"Never Married","White","HS Grad","Industrial","Good","Yes",85.3865890236244
55,"Married","White","non HS Grad","Industrial","Good","Yes",109.833985642199
50,"Married","White","HS Grad","Industrial","Good","No",61.0524210501246
55,"Divorced","White","HS Grad","Industrial","Average","Yes",118.884359339886
40,"Married","White","Some College","Industrial","Good","Yes",145.805163374625
32,"Married","White","HS Grad","Information","Average","No",112.6488963421
27,"Married","White","HS Grad","Industrial","Average","Yes",106.921814091211
49,"Married","White","Some College","Information","Good","Yes",106.921814091211
50,"Married","White","College Grad","Information","Average","Yes",127.115743812184
50,"Married","White","non HS Grad","Industrial","Average","Yes",87.9810327856054
44,"Married","White","Advanced Degree","Information","Good","Yes",144.47808766541
57,"Married","Asian","Advanced Degree","Information","Average","Yes",160.409701962289
72,"Married","Black","Advanced Degree","Industrial","Average","No",87.9810327856054
23,"Never Married","White","non HS Grad","Industrial","Average","No",65.1108537153447
31,"Never Married","White","Advanced Degree","Information","Good","Yes",176.989650489877
36,"Married","White","HS Grad","Information","Good","No",54.5981500331442
63,"Married","Black","Some College","Industrial","Good","Yes",109.833985642199
48,"Married","White","non HS Grad","Industrial","Average","No",81.698421724729
46,"Married","White","College Grad","Industrial","Good","No",114.475713290347
55,"Married","White","College Grad","Industrial","Good","Yes",142.634472767972
44,"Married","White","Advanced Degree","Information","Good","Yes",160.642475408263
44,"Married","White","Some College","Industrial","Good","Yes",94.0727147457005
32,"Married","Other","non HS Grad","Industrial","Average","No",54.5981500331442
60,"Married","White","non HS Grad","Industrial","Good","Yes",73.7757432746946
42,"Married","White","Advanced Degree","Information","Good","Yes",160.642475408263
48,"Married","Black","Advanced Degree","Information","Good","Yes",148.413159102577
36,"Married","White","non HS Grad","Industrial","Good","No",87.9823064294987
31,"Married","White","HS Grad","Industrial","Average","Yes",101.82435207568
54,"Married","White","HS Grad","Information","Good","Yes",111.720849360989
29,"Married","White","Some College","Industrial","Good","Yes",106.921814091211
46,"Divorced","White","Some College","Industrial","Good","No",126.323880709786
35,"Divorced","White","HS Grad","Industrial","Good","No",109.833985642199
50,"Married","White","non HS Grad","Information","Average","Yes",92.8958447894966
25,"Married","White","Some College","Industrial","Good","Yes",54.5981500331442
33,"Never Married","White","Some College","Information","Average","No",96.3706528322308
34,"Married","White","HS Grad","Industrial","Good","Yes",114.475713290347
51,"Married","Black","HS Grad","Industrial","Average","Yes",94.0727147457005
33,"Married","White","HS Grad","Industrial","Good","Yes",95.2307125669819
59,"Married","White","Some College","Information","Good","Yes",139.00340805947
62,"Separated","Black","non HS Grad","Industrial","Good","Yes",81.2832532842527
28,"Separated","White","HS Grad","Industrial","Good","Yes",94.0727147457005
40,"Married","White","Some College","Information","Average","Yes",87.9810327856054
52,"Married","White","Advanced Degree","Industrial","Good","Yes",138.299126920883
29,"Married","White","HS Grad","Industrial","Good","No",89.4924795180001
34,"Married","White","non HS Grad","Industrial","Good","Yes",92.8958447894966
25,"Never Married","White","HS Grad","Industrial","Good","No",54.5981500331442
66,"Married","White","College Grad","Industrial","Good","Yes",94.0727147457005
43,"Married","White","HS Grad","Information","Average","Yes",68.7480877337669
45,"Married","Black","HS Grad","Information","Good","No",92.8958447894966
35,"Married","White","Advanced Degree","Information","Good","Yes",114.475713290347
43,"Married","White","HS Grad","Information","Good","Yes",109.833985642199
49,"Married","White","College Grad","Information","Good","Yes",109.833985642199
60,"Never Married","Black","non HS Grad","Information","Average","Yes",77.0452008528242
46,"Married","White","HS Grad","Information","Good","No",94.0727147457005
55,"Married","White","HS Grad","Industrial","Good","Yes",101.82435207568
32,"Married","White","Some College","Industrial","Good","Yes",118.884359339886
53,"Married","White","HS Grad","Industrial","Good","No",133.232350826567
57,"Married","White","College Grad","Information","Good","Yes",157.10350432345
51,"Married","White","Advanced Degree","Information","Average","Yes",281.745970551857
59,"Married","White","Advanced Degree","Information","Good","Yes",182.020620963512
45,"Married","White","Some College","Information","Average","Yes",119.09923477134
56,"Never Married","White","HS Grad","Industrial","Average","Yes",71.6867436659172
30,"Married","White","HS Grad","Industrial","Good","Yes",85.3839403789827
21,"Never Married","White","HS Grad","Industrial","Good","No",72.1504556815713
60,"Married","White","College Grad","Industrial","Good","Yes",138.299126920883
60,"Married","White","HS Grad","Information","Good","Yes",101.82435207568
48,"Divorced","White","non HS Grad","Industrial","Good","Yes",109.833985642199
39,"Divorced","White","College Grad","Information","Good","No",87.9810327856054
32,"Never Married","White","Some College","Information","Good","Yes",115.375038556391
51,"Married","Black","Advanced Degree","Information","Good","Yes",191.573683548412
47,"Married","White","College Grad","Industrial","Good","No",86.6951548289402
44,"Married","White","HS Grad","Information","Average","Yes",75.8522371953675
46,"Married","White","HS Grad","Industrial","Good","Yes",166.324941233877
28,"Never Married","White","College Grad","Industrial","Good","Yes",56.9055391446732
24,"Never Married","White","College Grad","Information","Good","No",99.6894636984864
37,"Married","White","HS Grad","Industrial","Good","No",92.8958447894966
31,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
72,"Married","White","HS Grad","Information","Average","Yes",92.8958447894966
50,"Married","White","Some College","Industrial","Average","Yes",101.82435207568
36,"Married","White","Some College","Industrial","Good","Yes",145.143601176911
27,"Never Married","Black","HS Grad","Industrial","Good","Yes",76.8936025176112
27,"Married","White","Some College","Industrial","Good","Yes",90.4819133566401
41,"Married","White","College Grad","Industrial","Good","No",127.115743812184
20,"Never Married","White","Some College","Information","Good","No",82.6796372966372
49,"Married","Black","HS Grad","Industrial","Good","Yes",99.6894636984864
25,"Never Married","White","HS Grad","Industrial","Good","Yes",64.1592325660882
41,"Married","Asian","non HS Grad","Industrial","Average","Yes",89.4924795180001
53,"Never Married","White","HS Grad","Industrial","Average","Yes",87.9810327856054
45,"Married","White","College Grad","Industrial","Average","No",127.115743812184
32,"Married","White","non HS Grad","Industrial","Good","No",66.9616443217359
47,"Married","White","Some College","Information","Good","Yes",148.413159102577
26,"Married","White","HS Grad","Industrial","Good","Yes",123.089699847943
31,"Married","Black","Some College","Information","Good","Yes",133.232350826567
32,"Married","Asian","Advanced Degree","Information","Good","Yes",118.884359339886
50,"Divorced","White","Advanced Degree","Information","Good","Yes",120.166119635421
46,"Married","White","HS Grad","Industrial","Good","Yes",115.375038556391
47,"Married","White","Advanced Degree","Information","Good","Yes",112.6488963421
55,"Married","White","Some College","Industrial","Average","Yes",118.884359339886
49,"Married","White","College Grad","Industrial","Good","Yes",148.413159102577
25,"Married","White","HS Grad","Industrial","Good","Yes",61.1875264339915
60,"Married","White","HS Grad","Information","Good","No",95.6888119067371
62,"Married","White","HS Grad","Industrial","Good","Yes",89.2428846644714
63,"Separated","Black","HS Grad","Information","Good","Yes",127.901232979118
31,"Never Married","White","Advanced Degree","Information","Good","Yes",128.680488220624
29,"Married","White","College Grad","Industrial","Good","Yes",109.833985642199
51,"Married","White","HS Grad","Industrial","Good","Yes",114.475713290347
28,"Married","Asian","HS Grad","Industrial","Good","No",76.1296996370986
36,"Never Married","White","Some College","Information","Average","Yes",123.089699847943
28,"Never Married","White","Some College","Information","Good","Yes",99.6894636984864
38,"Married","White","College Grad","Information","Good","Yes",102.870246933215
35,"Married","White","Some College","Industrial","Good","Yes",96.3706528322308
46,"Divorced","White","Some College","Industrial","Good","Yes",117.146816914805
37,"Married","White","Some College","Information","Good","No",90.4819133566401
41,"Divorced","Black","Some College","Information","Good","Yes",104.921506533664
59,"Married","Black","Some College","Industrial","Average","No",73.7757432746946
51,"Married","White","Some College","Industrial","Average","No",107.903923866876
26,"Never Married","Black","HS Grad","Industrial","Good","Yes",99.6894636984864
34,"Married","Black","Some College","Industrial","Good","Yes",60.1541246622441
32,"Married","White","HS Grad","Information","Good","Yes",123.089699847943
23,"Never Married","White","Some College","Industrial","Good","Yes",81.2832532842527
50,"Married","White","HS Grad","Information","Good","Yes",143.134940811134
25,"Never Married","White","non HS Grad","Industrial","Good","Yes",69.0981838087226
43,"Married","White","HS Grad","Industrial","Good","Yes",78.9816745162994
36,"Married","Black","Some College","Industrial","Good","Yes",128.680488220624
50,"Married","White","HS Grad","Information","Average","No",54.5981500331442
34,"Separated","Black","HS Grad","Information","Good","Yes",134.705375118879
34,"Never Married","White","HS Grad","Industrial","Good","No",104.921506533664
55,"Married","Asian","Advanced Degree","Information","Good","Yes",277.601417511009
39,"Married","Black","HS Grad","Industrial","Average","No",78.214575693165
40,"Married","White","non HS Grad","Industrial","Average","Yes",82.6796372966372
32,"Married","White","Some College","Information","Average","Yes",117.146816914805
63,"Married","White","HS Grad","Information","Average","Yes",118.884359339886
38,"Never Married","White","HS Grad","Industrial","Good","No",109.833985642199
67,"Married","Asian","HS Grad","Industrial","Average","No",59.0970640815891
39,"Married","White","HS Grad","Industrial","Good","Yes",116.265324062503
31,"Married","Asian","HS Grad","Industrial","Average","No",61.1875264339915
41,"Never Married","White","Some College","Information","Good","Yes",114.475713290347
47,"Married","White","non HS Grad","Industrial","Good","Yes",78.3924668009837
61,"Married","White","HS Grad","Industrial","Good","Yes",122.263673892802
61,"Married","White","Advanced Degree","Industrial","Good","Yes",148.413159102577
21,"Married","Other","HS Grad","Industrial","Good","No",54.5981500331442
22,"Never Married","White","College Grad","Industrial","Average","No",66.0446942318056
53,"Married","White","College Grad","Industrial","Good","Yes",126.957885677185
47,"Married","White","College Grad","Industrial","Good","No",81.2832532842527
36,"Married","White","Some College","Industrial","Good","Yes",127.901232979118
36,"Never Married","White","HS Grad","Industrial","Good","No",87.9810327856054
42,"Married","White","HS Grad","Industrial","Good","Yes",123.089699847943
54,"Divorced","White","Some College","Industrial","Good","No",104.921506533664
27,"Married","White","Some College","Industrial","Average","Yes",87.9810327856054
36,"Married","White","HS Grad","Industrial","Good","Yes",131.737801155001
35,"Never Married","White","HS Grad","Information","Average","No",73.7757432746946
60,"Married","White","HS Grad","Industrial","Good","Yes",104.921506533664
42,"Separated","White","HS Grad","Industrial","Average","Yes",91.602615662534
41,"Married","Black","Advanced Degree","Information","Good","Yes",123.089699847943
35,"Never Married","Black","Some College","Industrial","Average","Yes",131.652698654268
34,"Never Married","Black","Advanced Degree","Information","Good","Yes",309.5717712662
22,"Never Married","White","HS Grad","Industrial","Average","Yes",70.6610476694407
47,"Married","White","HS Grad","Industrial","Good","No",84.8520440937874
59,"Married","White","HS Grad","Industrial","Good","Yes",102.870246933215
29,"Never Married","White","Some College","Information","Good","Yes",103.90247060316
32,"Never Married","White","non HS Grad","Information","Good","Yes",94.0727147457005
49,"Married","White","College Grad","Industrial","Good","Yes",128.680488220624
30,"Never Married","White","Some College","Information","Good","Yes",106.326864894674
33,"Never Married","Asian","HS Grad","Industrial","Average","Yes",99.2552868268562
51,"Married","White","HS Grad","Industrial","Average","Yes",133.232350826567
37,"Married","White","HS Grad","Industrial","Good","No",78.3924668009837
46,"Married","White","Some College","Industrial","Good","Yes",130.982177377461
63,"Married","White","Advanced Degree","Information","Good","Yes",109.833985642199
41,"Married","White","HS Grad","Industrial","Good","No",96.3706528322308
40,"Married","White","HS Grad","Industrial","Average","Yes",109.833985642199
46,"Married","White","Advanced Degree","Information","Good","Yes",281.745970551857
45,"Divorced","White","HS Grad","Information","Good","Yes",94.0727147457005
